movie_id,title,year,runtime,vote_average,vote_count,budget,revenue,original_language,decade
512200,Jumanji: The Next Level,2019,123,6.872,9464,125000000.0,801693929.0,en,2010
51497,Fast Five,2011,131,7.245,8959,125000000.0,626100000.0,en,2010
515001,Jojo Rabbit,2019,108,7.98,10528,14000000.0,82468705.0,en,2010
5165,L'Avventura,1960,144,7.5,758,,,it,1960
51876,Limitless,2011,106,7.202,11586,27000000.0,161900000.0,en,2010
522627,The Gentlemen,2020,113,7.7,6712,22000000.0,115171795.0,en,2020
524,Casino,1995,179,7.996,6626,50000000.0,116112375.0,en,1990
524047,Greenland,2020,120,7.127,5429,34000000.0,52300000.0,en,2020
525,The Blues Brothers,1980,133,7.716,4602,27000000.0,115229890.0,en,1980
530915,1917,2019,119,7.985,13693,100000000.0,446064352.0,en,2010
5336,"Salò, or the 120 Days of Sodom",1976,117,6.343,2325,800000.0,1800000.0,it,1970
535,Flashdance,1983,95,6.491,1627,7000000.0,201521203.0,en,1980
539,Psycho,1960,109,8.4,11097,806947.0,50000000.0,en,1960
544,There's Something About Mary,1998,120,6.634,5417,23000000.0,369900000.0,en,1990
545609,Extraction,2020,116,7.289,6685,65000000.0,,en,2020
546554,Knives Out,2019,131,7.84,14217,40000000.0,312897920.0,en,2010
547016,The Old Guard,2020,125,7.096,4877,70000000.0,,en,2020
550,Fight Club,1999,139,8.438,32448,63000000.0,100853753.0,en,1990
5503,The Fugitive,1993,131,7.485,4852,44000000.0,353808222.0,en,1990
551,The Poseidon Adventure,1972,117,7.2,1037,5000000.0,84563118.0,en,1970
5511,Le Samouraï,1967,105,7.777,1274,,215245.0,fr,1960
5548,RoboCop,1987,102,7.364,5822,13000000.0,53424681.0,en,1980
5549,RoboCop 2,1990,117,6.037,2163,35000000.0,45681173.0,en,1990
557,Spider-Man,2002,121,7.338,20937,139000000.0,821708551.0,en,2000
558,Spider-Man 2,2004,127,7.318,16559,200000000.0,788976453.0,en,2000
559,Spider-Man 3,2007,139,6.467,15411,258000000.0,894983373.0,en,2000
5590,Donkey Skin,1970,90,7.215,556,,13200000.0,fr,1970
561,Constantine,2005,121,7.188,8328,100000000.0,230900000.0,en,2000
562,Die Hard,1988,132,7.815,12435,28000000.0,140767956.0,en,1980
56292,Mission: Impossible - Ghost Protocol,2011,133,7.114,10866,145000000.0,694713380.0,en,2010
563,Starship Troopers,1997,129,7.115,5584,105000000.0,121214377.0,en,1990
564,The Mummy,1999,124,6.986,10189,80000000.0,415885488.0,en,1990
565,The Ring,2002,115,6.708,6764,48000000.0,249348933.0,en,2000
568,Apollo 13,1995,140,7.463,6000,52000000.0,355237933.0,en,1990
5689,The Blue Lagoon,1980,104,6.142,2049,4500000.0,58853106.0,en,1980
570670,The Invisible Man,2020,124,7.091,6355,7000000.0,144492724.0,en,2020
571,The Birds,1963,119,7.512,4508,2500000.0,11500000.0,en,1960
57158,The Hobbit: The Desolation of Smaug,2013,161,7.583,14362,250000000.0,958400000.0,en,2010
573,Frenzy,1972,116,7.093,1031,2000000.0,12600000.0,en,1970
576,The Wild Bunch,1969,145,7.6,1357,6244087.0,638641.0,en,1960
577922,Tenet,2020,150,7.175,11281,205000000.0,365304105.0,en,2020
578,Jaws,1975,124,7.683,11676,7000000.0,470653000.0,en,1970
5780,Torn Curtain,1966,127,6.6,666,3000000.0,13000615.0,en,1960
579,Jaws 2,1978,117,6.044,2151,20000000.0,187884000.0,en,1970
58,Pirates of the Caribbean: Dead Man's Chest,2006,151,7.4,17368,200000000.0,1066179747.0,en,2000
581,Dances with Wolves,1990,181,7.847,4746,22000000.0,424208848.0,en,1990
5825,National Lampoon's Christmas Vacation,1989,97,7.229,2732,27000000.0,74542088.0,en,1980
583,Life of Brian,1979,94,7.761,4982,4000000.0,20833252.0,en,1970
583083,The Kissing Booth 2,2020,132,7.604,5153,,,en,2020
584,2 Fast 2 Furious,2003,108,6.522,8242,76000000.0,236350661.0,en,2000
585,"Monsters, Inc.",2001,92,7.855,19993,115000000.0,579700000.0,en,2000
58574,Sherlock Holmes: A Game of Shadows,2011,129,7.146,11028,125000000.0,334615000.0,en,2010
587,Big Fish,2003,125,7.754,7841,70000000.0,123200000.0,en,2000
5879,In the Realm of the Senses,1976,102,6.6,741,,7650000.0,ja,1970
5902,A Bridge Too Far,1977,175,7.202,950,22000000.0,50750000.0,en,1970
590223,Love and Monsters,2020,109,7.268,4507,30000000.0,1122066.0,en,2020
591,The Da Vinci Code,2006,149,6.732,10167,125000000.0,760006945.0,en,2000
5915,Into the Wild,2007,148,7.794,10226,15000000.0,56255142.0,en,2000
5916,The Getaway,1972,123,7.145,672,3352254.0,36734619.0,en,1970
